# t(s), PGD_base(m), Drift_abs(m), Drift_norm(mm/m), Prob(%)
13.690, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.695, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.700, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.705, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.710, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.715, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.720, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.725, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.730, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.735, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.740, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.745, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.750, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.755, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.760, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.765, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.770, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.775, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.780, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.785, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.790, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.795, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.800, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.805, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.810, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.815, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.820, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.825, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.830, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.835, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.840, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.845, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.850, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.855, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.860, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.865, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.870, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.875, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.880, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.885, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.890, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.895, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.900, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.905, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.910, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.915, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.920, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.925, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.930, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.935, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.940, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.945, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.950, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.955, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.960, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.965, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.970, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.975, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.980, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.985, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.990, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.995, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.000, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.005, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.010, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.015, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.020, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.025, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.030, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.035, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.040, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.045, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.050, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.055, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.060, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.065, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.070, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.075, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.080, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.085, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.090, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.095, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.100, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.105, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.110, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.115, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.120, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.125, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.130, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.135, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.140, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.145, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.150, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.155, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.160, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.165, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.170, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.175, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.180, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.185, 4.440579e-06, 4.695798e-06, 0.00, 0.00
14.190, 4.603782e-06, 4.695798e-06, 0.00, 0.00
14.195, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.200, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.205, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.210, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.215, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.220, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.225, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.230, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.235, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.240, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.245, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.250, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.255, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.260, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.265, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.270, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.275, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.280, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.285, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.290, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.295, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.300, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.305, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.310, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.315, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.320, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.325, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.330, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.335, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.340, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.345, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.350, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.355, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.360, 4.894273e-06, 4.695798e-06, 0.00, 0.00
14.365, 4.894273e-06, 4.695798e-06, 0.00, 0.00
